dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-08-23,2025-08-23 17:17:39,CUST000000132255,668562,1,2000000338934,Two,INR,301,19%,59,app,PRIME5
2025-08-23,2025-08-23 15:54:01,CUST000000206820,668563,1,2000000373287,1,INR,887,9%,41,web,
2025-08-23,2025-08-23 13:44:51,CUST000000143105,668564,1,2000000224534,Two,INR,1876,0%,451,app,
2025-08-23,2025-08-23 07:05:43,CUST000000052141,668565,1,2000000489018,1,AED,193,13%,9,web,
2025-08-23,2025-08-23 10:37:01,CUST000000011381,668566,1,2000000113548,1,AUD,91,18%,10,app,
2025-08-23,2025-08-23 10:37:01,CUST000000011381,668566,2,2000000099002,1,AUD,55,15%,6,app,
2025-08-23,2025-08-23 10:37:01,CUST000000011381,668566,3,2000000166995,1,AUD,17,3%,4,app,
2025-08-23,2025-08-23 23:19:16,CUST000000174628,668567,1,2000000211978,1,USD,$61,11%,3,web,
2025-08-23,2025-08-23 13:50:02,CUST000000094309,668568,1,2000000114552,1,AED,1401,16%,141,web,
2025-08-23,2025-08-23 18:34:26,CUST000000188875,668569,1,2000000131443,1,INR,1549,8%,72,app,
2025-08-23,2025-08-23 09:50:22,CUST000000259851,668570,1,2000000311104,1,INR,44589,0%,2230,web,
2025-08-23,2025-08-23 03:15:32,CUST000000215549,668571,1,2000000408057,1,AED,38,13%,2,web,
2025-08-23,2025-08-23 03:15:32,CUST000000215549,668571,2,2000000023144,1,AED,676,18%,28,web,
2025-08-23,2025-08-23 03:15:32,CUST000000215549,668571,3,2000000248226,1,AED,611,12%,65,web,
2025-08-23,2025-08-23 15:09:02,CUST000000170669,668572,1,2000000190259,1,AED,2230,4%,257,web,
2025-08-23,2025-08-23 06:58:46,CUST000000005649,668573,1,2000000213576,1,INR,53111,17%,2198,web,
2025-08-23,2025-08-23 00:54:55,CUST000000017212,668574,1,2000000394190,1,CAD,210,2%,38,web,
2025-08-23,2025-08-23 15:12:02,CUST000000181360,668575,1,2000000307954,1,USD,$1006,1%,120,app,
2025-08-23,2025-08-23 15:30:31,CUST000000273598,668576,1,2000000496009,1,SGD,5,7%,1,web,
2025-08-23,2025-08-23 21:50:35,CUST000000284898,668577,1,2000000341200,1,INR,6531,2%,771,app,FEST20
2025-08-23,2025-08-23 21:50:35,CUST000000284898,668577,2,2000000488677,1,INR,1242,25%,47,app,FEST20
2025-08-23,2025-08-23 00:09:53,CUST000000146857,668578,1,2000000399904,1,AED,130,0%,16,app,PRIME5
2025-08-23,2025-08-23 19:47:54,CUST000000115207,668579,1,2000000094038,1,INR,4478,2%,527,web,
2025-08-23,2025-08-23 21:27:15,CUST000000297606,668580,1,2000000165295,1,USD,$23,5%,3,web,
2025-08-23,2025-08-23 18:33:31,CUST000000265968,668581,1,2000000028354,Two,INR,1367,14%,425,app,
2025-08-23,2025-08-23 06:12:17,CUST000000099196,668582,1,2000000061030,1,GBP,18,16%,1,web,NEW10
2025-08-23,2025-08-23 06:12:17,CUST000000099196,668582,2,2000000211381,1,GBP,14,0%,2,web,NEW10
2025-08-23,2025-08-23 06:12:17,CUST000000099196,668582,3,2000000075006,Two,GBP,92,5%,22,web,NEW10
2025-08-23,2025-08-23 06:12:17,CUST000000099196,668582,4,2000000313153,Two,GBP,498,25%,38,web,NEW10
2025-08-23,2025-08-23 06:12:17,CUST000000099196,668582,5,2000000362601,1,GBP,478,22%,45,web,NEW10
2025-08-23,2025-08-23 03:24:59,CUST000000240813,668583,1,2000000015415,1,INR,567,17%,24,web,
2025-08-23,2025-08-23 03:24:59,CUST000000240813,668583,2,2000000179759,1,INR,1611,7%,180,web,
2025-08-23,2025-08-23 03:54:54,CUST000000000199,668584,1,2000000316543,1,AUD,794,12%,127,app,PRIME5
2025-08-23,2025-08-23 07:33:44,CUST000000007237,668585,1,2000000438610,1,INR,14595,10%,2369,app,PRIME5
2025-08-23,2025-08-23 17:24:33,CUST000000106271,668586,1,2000000080178,Two,USD,$1,9%,1,app,
2025-08-23,2025-08-23 21:43:50,CUST000000254604,668587,1,2000000294964,1,INR,2120,5%,364,app,
2025-08-23,2025-08-23 03:21:28,CUST000000019824,668588,1,2000000377636,1,INR,2074,20%,199,web,FEST20
2025-08-23,2025-08-23 03:21:28,CUST000000019824,668588,2,2000000166674,Two,INR,15911,14%,1361,web,FEST20
2025-08-23,2025-08-23 03:21:28,CUST000000019824,668588,3,2000000325774,Two,INR,3511,6%,330,web,FEST20
2025-08-23,2025-08-23 03:21:28,CUST000000019824,668588,4,2000000007298,1,INR,1338,0%,241,web,FEST20
2025-08-23,2025-08-23 09:30:07,CUST000000183206,668589,1,2000000380407,1,INR,6710,4%,1154,app,
2025-08-23,2025-08-23 12:11:15,CUST000000248781,668590,1,2000000324654,1,SGD,34,19%,4,web,
2025-08-23,2025-08-23 17:09:57,CUST000000217183,668591,1,2000000307770,1,INR,2014,0%,101,app,
2025-08-23,2025-08-23 12:33:13,CUST000000117838,668592,1,2000000075389,1,AED,27,13%,3,web,
2025-08-23,2025-08-23 12:33:13,CUST000000117838,668592,2,2000000143019,1,AED,2693,1%,134,web,
2025-08-23,2025-08-23 15:15:51,CUST000000243205,668593,1,2000000169613,1,INR,3069,9%,141,app,PRIME5
2025-08-23,2025-08-23 06:29:20,CUST000000209287,668594,1,2000000135915,1,USD,$41,2%,5,app,
2025-08-23,2025-08-23 06:29:20,CUST000000209287,668594,2,2000000198996,1,USD,$167,2%,30,app,
2025-08-23,2025-08-23 06:29:20,CUST000000209287,668594,3,2000000084077,1,USD,$23,5%,3,app,
2025-08-23,2025-08-23 03:53:19,CUST000000185099,668595,1,2000000427270,1,INR,2115,17%,318,app,
2025-08-23,2025-08-23 09:26:49,CUST000000015457,668596,1,2000000274836,1,USD,$494,10%,54,web,
2025-08-23,2025-08-23 02:49:51,CUST000000016930,668597,1,2000000200019,1,INR,15334,9%,696,app,
2025-08-23,2025-08-23 05:15:59,CUST000000233067,668598,1,2000000315669,1,CAD,76,7%,4,app,
2025-08-23,2025-08-23 08:35:54,CUST000000231206,668599,1,2000000076355,Two,GBP,718,12%,229,web,FEST20
2025-08-23,2025-08-23 08:35:54,CUST000000231206,668599,2,2000000194660,1,GBP,29,11%,2,web,FEST20
2025-08-23,2025-08-23 04:42:11,CUST000000007727,668600,1,2000000162294,1,AED,83,14%,9,app,
2025-08-23,2025-08-23 04:42:11,CUST000000007727,668600,2,2000000337937,1,AED,174,4%,9,app,
2025-08-23,2025-08-23 17:12:14,CUST000000179492,668601,1,2000000374468,3,SGD,60,14%,8,app,
2025-08-23,2025-08-23 10:07:34,CUST000000130048,668602,1,2000000309668,1,SGD,9,6%,2,web,NEW10
2025-08-23,2025-08-23 10:07:34,CUST000000130048,668602,2,2000000302928,3,SGD,64,0%,35,web,NEW10
2025-08-23,2025-08-23 10:07:34,CUST000000130048,668602,3,2000000133423,1,SGD,152,7%,8,web,NEW10
2025-08-23,2025-08-23 10:07:34,CUST000000130048,668602,4,2000000148656,1,SGD,17,2%,3,web,NEW10
