dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-08-30,2025-08-30 12:46:50,CUST000000114495,676395,1,2000000136295,1,GBP,13,16%,1,app,NEW10
2025-08-30,2025-08-30 19:00:46,CUST000000167574,676396,1,2000000125442,1,AUD,23,7%,3,web,PRIME5
2025-08-30,2025-08-30 19:00:46,CUST000000167574,676396,2,2000000319490,1,AUD,487,4%,24,web,PRIME5
2025-08-30,2025-08-30 21:50:52,CUST000000091703,676397,1,2000000213705,1,INR,3199,2%,158,web,FEST20
2025-08-30,2025-08-30 23:23:09,CUST000000027113,676398,1,2000000383569,1,INR,1696,16%,72,app,
2025-08-30,2025-08-30 04:52:11,CUST000000128388,676399,1,2000000333991,1,INR,31798,3%,5566,app,
2025-08-30,2025-08-30 16:11:21,CUST000000105911,676400,1,2000000017921,1,INR,12964,17%,1930,app,
2025-08-30,2025-08-30 17:17:40,CUST000000273320,676401,1,2000000275246,Two,GBP,294,0%,30,web,
2025-08-30,2025-08-30 10:26:35,CUST000000012580,676402,1,2000000013053,Two,INR,2171,13%,455,web,
2025-08-30,2025-08-30 10:26:35,CUST000000012580,676402,2,2000000005201,1,INR,1680,6%,286,web,
2025-08-30,2025-08-30 15:03:38,CUST000000021151,676403,1,2000000354644,1,INR,516,0%,26,web,PRIME5
2025-08-30,2025-08-30 15:03:38,CUST000000021151,676403,2,2000000156064,Two,INR,5764,14%,494,web,PRIME5
2025-08-30,2025-08-30 19:34:03,CUST000000095232,676404,1,2000000209296,1,INR,878,0%,159,app,FEST20
2025-08-30,2025-08-30 10:32:07,CUST000000261058,676405,1,2000000429205,1,SGD,47,16%,5,web,
2025-08-30,2025-08-30 20:52:16,CUST000000033963,676406,1,2000000007786,1,INR,13235,7%,1473,app,
2025-08-30,2025-08-30 02:29:21,CUST000000106886,676407,1,2000000220482,1,USD,$27,4%,4,web,
2025-08-30,2025-08-30 02:29:21,CUST000000106886,676407,2,2000000014937,1,USD,$716,8%,33,web,
2025-08-30,2025-08-30 11:14:24,CUST000000021148,676408,1,2000000391823,1,INR,1701,0%,86,app,
2025-08-30,2025-08-30 16:54:53,CUST000000231046,676409,1,2000000159928,1,INR,3779,8%,418,web,
2025-08-30,2025-08-30 16:54:53,CUST000000231046,676409,2,2000000218588,3,INR,3442,0%,517,web,
2025-08-30,2025-08-30 04:18:24,CUST000000238620,676410,1,2000000152516,1,USD,$1371,1%,163,web,
2025-08-30,2025-08-30 12:32:34,CUST000000138612,676411,1,2000000355641,1,AUD,1485,16%,150,app,
2025-08-30,2025-08-30 04:17:07,CUST000000006073,676412,1,2000000007212,1,GBP,109,11%,5,web,FEST20
2025-08-30,2025-08-30 02:22:51,CUST000000020830,676413,1,2000000475868,1,AED,3864,13%,404,app,
2025-08-30,2025-08-30 01:17:47,CUST000000191155,676414,1,2000000319896,1,SGD,21,9%,1,app,
2025-08-30,2025-08-30 09:41:45,CUST000000238251,676415,1,2000000161792,3,INR,2079,0%,312,web,NEW10
2025-08-30,2025-08-30 09:41:45,CUST000000238251,676415,2,2000000365022,1,INR,446,2%,53,web,NEW10
2025-08-30,2025-08-30 17:27:29,CUST000000171568,676416,1,2000000150505,1,INR,288,7%,14,app,FEST20
2025-08-30,2025-08-30 17:27:29,CUST000000171568,676416,2,2000000221656,1,INR,2526,0%,304,app,FEST20
2025-08-30,2025-08-30 23:16:25,CUST000000035381,676417,1,2000000115771,1,INR,3651,9%,401,app,PRIME5
2025-08-30,2025-08-30 23:16:25,CUST000000035381,676417,2,2000000410029,Two,INR,2586,10%,561,app,PRIME5
2025-08-30,2025-08-30 23:16:25,CUST000000035381,676417,3,2000000492612,1,INR,1340,8%,223,app,PRIME5
2025-08-30,2025-08-30 20:27:54,CUST000000228058,676418,1,2000000285054,Two,INR,1781,8%,395,app,PRIME5
2025-08-30,2025-08-30 11:47:42,CUST000000007657,676419,1,2000000372693,1,INR,4851,11%,519,app,PRIME5
2025-08-30,2025-08-30 17:03:07,CUST000000218077,676420,1,2000000136219,1,AED,41,19%,4,web,
2025-08-30,2025-08-30 17:03:07,CUST000000218077,676420,2,2000000124186,4,AED,227,0%,164,web,
2025-08-30,2025-08-30 17:03:07,CUST000000218077,676420,3,2000000263120,1,AED,37,0%,2,web,
2025-08-30,2025-08-30 17:03:07,CUST000000218077,676420,4,2000000417769,1,AED,52,8%,3,web,
2025-08-30,2025-08-30 10:29:15,CUST000000288816,676421,1,2000000057910,1,INR,84274,9%,9227,app,
2025-08-30,2025-08-30 06:53:37,CUST000000194581,676422,1,2000000268934,1,INR,112308,11%,17905,web,SAVE50
2025-08-30,2025-08-30 06:53:37,CUST000000194581,676422,2,2000000126647,1,INR,95402,13%,4150,web,SAVE50
2025-08-30,2025-08-30 06:53:37,CUST000000194581,676422,3,2000000123011,1,INR,15365,2%,1800,web,SAVE50
2025-08-30,2025-08-30 06:53:37,CUST000000194581,676422,4,2000000440057,1,INR,2036,0%,102,web,SAVE50
2025-08-30,2025-08-30 09:58:14,CUST000000278697,676423,1,2000000479828,1,INR,80780,9%,13240,app,
2025-08-30,2025-08-30 11:35:21,CUST000000192733,676424,1,2000000383545,1,INR,62548,15%,2655,app,PRIME5
2025-08-30,2025-08-30 11:35:21,CUST000000192733,676424,2,2000000225135,1,INR,960,23%,89,app,PRIME5
2025-08-30,2025-08-30 11:35:21,CUST000000192733,676424,3,2000000383903,4,INR,489,0%,236,app,PRIME5
2025-08-30,2025-08-30 11:35:21,CUST000000192733,676424,4,2000000240374,Two,INR,5379,2%,1272,app,PRIME5
2025-08-30,2025-08-30 23:35:42,CUST000000225553,676425,1,2000000405087,1,AUD,25,1%,3,web,FEST20
2025-08-30,2025-08-30 02:11:36,CUST000000136064,676426,1,2000000059884,1,USD,$80,9%,4,web,FEST20
2025-08-30,2025-08-30 15:30:40,CUST000000168312,676427,1,2000000079479,1,CAD,47,12%,5,web,
2025-08-30,2025-08-30 06:22:50,CUST000000133830,676428,1,2000000059709,1,INR,59004,15%,2521,app,NEW10
2025-08-30,2025-08-30 02:34:07,CUST000000149900,676429,1,2000000182773,1,INR,2694,5%,129,app,PRIME5
2025-08-30,2025-08-30 02:34:07,CUST000000149900,676429,2,2000000214054,1,INR,2227,9%,243,app,PRIME5
2025-08-30,2025-08-30 02:34:07,CUST000000149900,676429,3,2000000283180,1,INR,70851,25%,9587,app,PRIME5
2025-08-30,2025-08-30 02:34:07,CUST000000149900,676429,4,2000000229874,1,INR,6119,4%,706,app,PRIME5
2025-08-30,2025-08-30 07:52:06,CUST000000150379,676430,1,2000000380261,1,INR,50034,17%,4990,app,
2025-08-30,2025-08-30 07:52:06,CUST000000150379,676430,2,2000000429878,1,INR,1123,9%,52,app,
2025-08-30,2025-08-30 07:52:06,CUST000000150379,676430,3,2000000462554,Two,INR,11574,14%,2383,app,
2025-08-30,2025-08-30 20:33:31,CUST000000091157,676431,1,2000000441122,1,INR,678,0%,82,app,NEW10
2025-08-30,2025-08-30 05:49:32,CUST000000137794,676432,1,2000000155968,1,CAD,33,7%,6,app,
2025-08-30,2025-08-30 05:49:32,CUST000000137794,676432,2,2000000276069,1,CAD,232,2%,28,app,
2025-08-30,2025-08-30 21:26:24,CUST000000171654,676433,1,2000000430614,1,AUD,1073,18%,159,app,
2025-08-30,2025-08-30 09:11:36,CUST000000234830,676434,1,2000000215037,1,INR,4460,13%,695,web,
2025-08-30,2025-08-30 16:06:22,CUST000000120627,676435,1,2000000315294,Two,AUD,60,12%,13,app,PRIME5
2025-08-30,2025-08-30 16:06:22,CUST000000120627,676435,2,2000000244297,Two,AUD,9,1%,3,app,PRIME5
2025-08-30,2025-08-30 17:52:09,CUST000000021445,676436,1,2000000489766,Two,INR,4889,10%,1578,app,
2025-08-30,2025-08-30 17:52:09,CUST000000021445,676436,2,2000000207247,1,INR,7389,12%,1170,app,
2025-08-30,2025-08-30 23:36:05,CUST000000263849,676437,1,2000000353487,Two,USD,$512,0%,124,web,
2025-08-30,2025-08-30 10:48:34,CUST000000158910,676438,1,2000000495453,1,GBP,285,0%,35,web,
