dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-08-08,2025-08-08 16:15:08,CUST000000074064,651493,1,2000000173689,1,SGD,704,21%,67,web,
2025-08-08,2025-08-08 02:55:35,CUST000000178320,651494,1,2000000039206,Two,INR,1592,9%,347,app,
2025-08-08,2025-08-08 02:55:35,CUST000000178320,651494,2,2000000239750,1,INR,14638,15%,1485,app,
2025-08-08,2025-08-08 02:55:35,CUST000000178320,651494,3,2000000039947,Two,INR,4880,11%,1571,app,
2025-08-08,2025-08-08 00:34:48,CUST000000162779,651495,1,2000000123554,Two,SGD,564,0%,57,web,
2025-08-08,2025-08-08 00:34:48,CUST000000162779,651495,2,2000000316376,1,SGD,469,2%,23,web,
2025-08-08,2025-08-08 00:34:48,CUST000000162779,651495,3,2000000185460,1,SGD,48,6%,3,web,
2025-08-08,2025-08-08 08:43:50,CUST000000193080,651496,1,2000000173665,Two,GBP,35,10%,8,app,
2025-08-08,2025-08-08 08:43:50,CUST000000193080,651496,2,2000000486161,1,GBP,33,12%,4,app,
2025-08-08,2025-08-08 08:43:50,CUST000000193080,651496,3,2000000472430,1,GBP,4,21%,1,app,
2025-08-08,2025-08-08 11:38:03,CUST000000195383,651497,1,2000000287317,Two,GBP,15,14%,4,app,
2025-08-08,2025-08-08 07:54:08,CUST000000043315,651498,1,2000000011974,1,USD,$49,7%,9,app,
2025-08-08,2025-08-08 07:54:08,CUST000000043315,651498,2,2000000095141,1,USD,$24,6%,5,app,
2025-08-08,2025-08-08 02:42:01,CUST000000226005,651499,1,2000000163291,1,INR,338,14%,36,app,PRIME5
2025-08-08,2025-08-08 02:22:47,CUST000000024844,651500,1,2000000422992,1,INR,1406,13%,148,web,
2025-08-08,2025-08-08 02:22:47,CUST000000024844,651500,2,2000000334561,Two,INR,1082,16%,329,web,
2025-08-08,2025-08-08 20:01:32,CUST000000192563,651501,1,2000000114439,1,GBP,7,12%,2,web,
2025-08-08,2025-08-08 07:52:34,CUST000000149980,651502,1,2000000222837,1,INR,3602,0%,181,app,
2025-08-08,2025-08-08 07:52:34,CUST000000149980,651502,2,2000000388427,Two,INR,4280,14%,881,app,
2025-08-08,2025-08-08 07:52:34,CUST000000149980,651502,3,2000000465517,1,INR,36222,0%,1812,app,
2025-08-08,2025-08-08 07:52:34,CUST000000149980,651502,4,2000000348087,1,INR,1307,2%,231,app,
2025-08-08,2025-08-08 07:16:53,CUST000000054916,651503,1,2000000216577,1,AED,1108,6%,126,app,
2025-08-08,2025-08-08 07:16:53,CUST000000054916,651503,2,2000000089706,1,AED,80,2%,15,app,
2025-08-08,2025-08-08 02:29:00,CUST000000075365,651504,1,2000000386195,Two,GBP,655,4%,64,web,SAVE50
2025-08-08,2025-08-08 02:29:00,CUST000000075365,651504,2,2000000316789,1,GBP,39,12%,5,web,SAVE50
2025-08-08,2025-08-08 11:24:30,CUST000000195029,651505,1,2000000092249,1,USD,$44,12%,5,web,
2025-08-08,2025-08-08 05:43:09,CUST000000135562,651506,1,2000000277677,1,INR,12577,1%,1492,web,
2025-08-08,2025-08-08 05:43:09,CUST000000135562,651506,2,2000000410197,1,INR,1218,6%,206,web,
2025-08-08,2025-08-08 23:00:33,CUST000000023397,651507,1,2000000499048,1,INR,5245,0%,630,app,PRIME5
2025-08-08,2025-08-08 08:44:46,CUST000000163672,651508,1,2000000208381,3,INR,8875,1%,4737,web,
2025-08-08,2025-08-08 08:25:05,CUST000000093169,651509,1,2000000106014,1,INR,7933,7%,370,app,
2025-08-08,2025-08-08 11:56:44,CUST000000232484,651510,1,2000000215150,1,AED,74,9%,9,app,NEW10
2025-08-08,2025-08-08 02:27:06,CUST000000100691,651511,1,2000000022499,1,INR,1340,11%,216,app,NEW10
2025-08-08,2025-08-08 04:35:53,CUST000000107880,651512,1,2000000416335,3,AED,580,4%,303,app,
2025-08-08,2025-08-08 05:24:05,CUST000000293339,651513,1,2000000042671,1,INR,8265,14%,357,app,
2025-08-08,2025-08-08 05:24:05,CUST000000293339,651513,2,2000000150321,1,INR,99409,3%,17440,app,
2025-08-08,2025-08-08 19:19:22,CUST000000028969,651514,1,2000000360980,4,USD,$12,10%,6,app,SAVE50
2025-08-08,2025-08-08 02:33:02,CUST000000032881,651515,1,2000000360263,1,INR,5755,11%,613,web,NEW10
2025-08-08,2025-08-08 02:33:02,CUST000000032881,651515,2,2000000487120,1,INR,1431,17%,143,web,NEW10
2025-08-08,2025-08-08 23:05:56,CUST000000104695,651516,1,2000000089294,1,INR,3307,6%,156,web,NEW10
2025-08-08,2025-08-08 23:05:56,CUST000000104695,651516,2,2000000285337,Two,INR,94173,6%,21143,web,NEW10
2025-08-08,2025-08-08 14:46:17,CUST000000248759,651517,1,2000000040158,1,AUD,52,3%,7,web,
2025-08-08,2025-08-08 14:46:17,CUST000000248759,651517,2,2000000243559,1,AUD,31,12%,4,web,
2025-08-08,2025-08-08 14:46:17,CUST000000248759,651517,3,2000000106120,1,AUD,7,3%,1,web,
2025-08-08,2025-08-08 09:52:52,CUST000000176782,651518,1,2000000416960,Two,GBP,111,16%,34,web,PRIME5
2025-08-08,2025-08-08 09:52:52,CUST000000176782,651518,2,2000000446905,Two,GBP,69,12%,7,web,PRIME5
2025-08-08,2025-08-08 09:52:52,CUST000000176782,651518,3,2000000146317,1,GBP,13,15%,2,web,PRIME5
2025-08-08,2025-08-08 07:00:42,CUST000000243869,651519,1,2000000158556,1,INR,371,9%,41,app,FEST20
2025-08-08,2025-08-08 14:01:19,CUST000000098162,651520,1,2000000458083,1,INR,3509,0%,422,web,NEW10
2025-08-08,2025-08-08 14:01:19,CUST000000098162,651520,2,2000000386201,1,INR,57744,14%,8985,web,NEW10
2025-08-08,2025-08-08 13:00:38,CUST000000143979,651521,1,2000000298948,1,CAD,10,6%,2,app,NEW10
2025-08-08,2025-08-08 21:16:40,CUST000000174951,651522,1,2000000216386,1,USD,$27,13%,2,web,
2025-08-08,2025-08-08 21:16:40,CUST000000174951,651522,2,2000000169811,Two,USD,$4,4%,1,web,
2025-08-08,2025-08-08 02:22:40,CUST000000276289,651523,1,2000000222639,Two,INR,10368,1%,1024,web,
2025-08-08,2025-08-08 02:22:40,CUST000000276289,651523,2,2000000306230,3,INR,3618,1%,1288,web,
2025-08-08,2025-08-08 02:20:59,CUST000000189507,651524,1,2000000248103,Two,INR,43413,2%,15331,app,
2025-08-08,2025-08-08 02:20:59,CUST000000189507,651524,2,2000000185910,1,INR,1885,0%,227,app,
2025-08-08,2025-08-08 22:52:37,CUST000000026033,651525,1,2000000365657,Two,AED,16,5%,6,web,
2025-08-08,2025-08-08 06:14:58,CUST000000248837,651526,1,2000000171463,1,INR,13887,10%,1493,app,
2025-08-08,2025-08-08 08:47:33,CUST000000172841,651527,1,2000000111940,1,SGD,11,14%,2,web,SAVE50
2025-08-08,2025-08-08 08:47:33,CUST000000172841,651527,2,2000000044996,1,SGD,51,7%,6,web,SAVE50
